facet_desc_0,question_0,answer_1_0,answer_2_0,shuffled_0,facet_desc_1,question_1,answer_1_1,answer_2_1,shuffled_1,facet_desc_2,question_2,answer_1_2,answer_2_2,shuffled_2,facet_desc_3,query_3,question_3,answer_1_3,answer_2_3,correct_3,facet_desc_4,question_4,answer_1_4,answer_2_4,shuffled_4
"I am looking for newcomer information for Cass County, Missouri.",is there any specific information that you are looking for,I am looking for newcomer information.,yes i would like to find information on the county where i am located,False,Find information on Breeders Cup races.,are you interested in a schedule of events from churchill downs,"Yes, I would like to see a schedule of events from Churchil Downs.",yes i would like information on the race races,False,Find vendors that sell computer memory upgrades.,are you worried about memory loss,no i am interested in computer repair,"No, I want to buy some.",True,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,Find a black-and-white outline map of the United States such that a child could color.,would you like to know where the us is located on the map,no i am looking for a black and white outline map,"No, I want a black-and-white outline map of the United States such that a child could color.",True
Find the seating chart of Churchill Downs.,do you want to know the best time to visit churchill downs is,no i want to see the seat charts of the churchill downs,"No, I want to find the seating chart of Churchill Downs.",True,"What is ""Poem in Your Pocket Day""?",did you want the know what the reasoning for having poem in your pocket day is,no i want to know what is the meaning of poetry in my pocket day,"Yes, I would like to know the reasoning for having ""Poem in Your Pocket Day.""",True,What problems have afflicted the Ford Edge car model?,do you want to see if there have been recalls of the ford edge,"Yes, I want to know if there have been recalls of the ford edge.",yes i want to kyesw what the problem is,False,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,"Find information on various types of computer memory, and how they are different.",who was the first to study the brain and memory,"I want to know about different types of computer memory, and how they are different.",no,False
Find Brooks Brothers online promotional coupons.,are you interested in brooks brothers clearance shirts,no i need to see their online retailers,Yes.,True,"What is ""Poem in Your Pocket Day""?",are you looking for activities for the day,no i am looking for a list of all the things that you can do in your pocket day,"No, I just want to know what it is.",True,Find complete (not partial) recipes for beef stroganoff.,do you want a one pot recipe,yes,"No, I want a complete recipe for beef stroganoff.",True,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,How can I plan an inexpensive wedding?,were you interested in a free or paid budget calculator,free,no i am interested in planning an inexpensive wedding,False
Find a map of the inside of the US Capitol.,are you interested in a map of capitol hill,no i am interested in a map of the inside of the usitol,"Yes, I want a map of the inside of the Capitol.",True,I'm looking for web sites that do antique appraisals.,are you looking for a type of appraiser,no i want to find websites that do antique appraisals,"No, I'm looking for web sites that do antique appraisals.",True,"Find recipes from Starbucks, either for making or using Starbucks products.",are you interested in the stocks of starbucks,"No, I want to find recipes from Starbucks.",yes i want to kyesw what they have made or used,False,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,Where can I learn about rock painting or buy a rock-painting kit?,do you want to buy rock art,no,"No, I want to learn about how to make rock art.",True
Where can I buy rock and roll posters?,do you want examples of rock art,yes,"No, I want to know where I can buy rock and roll posters.",True,Find a black-and-white outline map of the United States such that a child could color.,are you looking for a paper version of us map,"Yes, I need a black-and-white outline map of the United States such that a child could color.",yes,False,"What services/facilities does the Ontario, CA airport offer?",would you like to book a flight at ontario california airport,"No, I just want to know what services/facilities it offers.",yes i need to kyesw about services and facilities offered by the airport,False,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,What is the average salary for a computer programmer?,are you looking for information on different computer programming languages,"No, I want to know the average salary for a computer programmer.",yes,False
Find vendors that sell computer memory upgrades.,are you looking for ways to naturally boost your memory,"No, I'm looking to buy some computer memory upgrades from vendors. Do you know any?",yes i want to buy a computer to,False,Where can I buy radio-controlled planes?,is this for a school craft or play,I just want to know where I can purchase a radio-controlled plane.,yes i want to kyesw where i can buy a radiocontrolled plane,False,What does the US capital tax rate consist of and how is it broken down?,do you like to know capital gains tax on real estate,"No, I want to know about the capital tax rate and how it's broken down.",no i want to know the differences between the uscapital tax rate and the rate of income tax,False,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,What are the symptoms of von Willebrand Disease?,do you want to know how von willebrand disease is treated,yes,"No, I want to know the symptoms of it.",True
I am looking for spreadsheets or templates to help me tabulate a budget for a wedding.,what are your budget priorities for your wedding,no i am looking for spreadsheets or templates to help me tabulate a wedding budget,I need a spreadsheet or template to help me tabulate a budget for a wedding.,True,Sites that sell Universal Animal Cuts that include product reviews.,did you want to know if the price was worth it,no i want to find a site that sells it,"No, I want to know if the product works.",True,Find a list of hobby stores in Maryland.,are you looking for hobby stores located in maryland,yes,"Yes, I am looking for a list of hobby stores in Maryland.",True,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,Find the seating chart of Churchill Downs.,is there any specific race on your mind,I just want to see the seating chart of Churchill Downs.,yes i want to see the seating charts of bellevue downs,False
Find ideas for how to celebrate Poem in Your Pocket Day and National Poetry Month.,are you looking for examples of poems to carry for poem in your pocket day,no,"Yes, I would like some examples of poems to carry for poem in your pocket day.",True,"What was the 2008 budget for Cass County, MO?",do you have travel plans,yes i would like to know what the 2008 budget was,"No, I want to know the 2008 budget for Cass County, MO.",True,Where can I learn about rock painting or buy a rock-painting kit?,do you want the history of rock art,no i want to learn about rock painting,"No, I want to learn how to paint rocks.",True,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,"I'd like to find user reports about Windows Defender, particularly problems with the software.",are you looking for a security system,yes,"I'm looking for user reports about Windows Defender, particularly problems with the software.",True
Find pictures of horse hooves.,do you need your horses hooves trimmed,"No, I need pictures of horse hooves.",yes i want pictures of them,False,information about Indian tribes that used adobe houses,do you want information about the construction of adobe houses,"No, I want information about Indian tribes that used adobe houses.",no,False,Find information about buying real estate in India.,would you like more information about the challenges of living in india,"No, I want to know about buying real estate in India.",yes i am looking for information on buying real estate in india,False,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,Describe the anatomy of horses' feet and hooves.,do you need horse hoof care tips,"No, I want to know about the anatomy of horses' feet and hooves.",yes i am looking for general information about the anatomy of hoofs,False
Where can I buy tools for stone carving or engraving?,do you want locations of rock art,yes i want to buy tools for carving,"No, I want to learn about tools for stone carving or engraving.",True,discussion of the impending sale of the Rocky Mountain News,do you want to incude both canadian and us news sources,yes i want to kyesw the sale of the rocky mn,"No, just the sale of the Rocky Mountain News.",True,Take me to the Starbucks homepage.,are you interested in the stocks of starbucks,"No, I want to go to the Starbucks homepage.",no im looking for the website for the company that makes them,False,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,Find testimonials of Universal Animal Cuts nutritional supplement.,did you want to know if it was effective for different levels of weight,no i want to know if it was effective for different levels of weight,"No, I'm just looking for testimonials of the product.",True
